Video,Timestamp(ms),MatchedName,Confidence
Transcodes/IMG_298.mp4,467,Tom,100.0
Transcodes/IMG_298.mp4,467,Kari,100.0
Transcodes/IMG_298.mp4,967,Millie,100.0
Transcodes/IMG_298.mp4,967,Jojo,100.0
Transcodes/IMG_298.mp4,967,Jojo,100.0
Transcodes/IMG_298.mp4,967,Millie,100.0
Transcodes/IMG_298.mp4,967,Tom,100.0
Transcodes/IMG_298.mp4,967,Kari,100.0
Transcodes/IMG_298.mp4,1468,Millie,100.0
Transcodes/IMG_298.mp4,1468,Jojo,100.0
Transcodes/IMG_298.mp4,1468,Millie,100.0
Transcodes/IMG_298.mp4,1468,Jojo,100.0
Transcodes/IMG_298.mp4,1468,Tom,100.0
Transcodes/IMG_298.mp4,1968,Millie,100.0
Transcodes/IMG_298.mp4,1968,Jojo,100.0
Transcodes/IMG_298.mp4,1968,Jojo,100.0
Transcodes/IMG_298.mp4,1968,Millie,100.0
Transcodes/IMG_298.mp4,1968,Tom,100.0
Transcodes/IMG_298.mp4,1968,Kari,100.0
Transcodes/IMG_298.mp4,2469,Millie,100.0
Transcodes/IMG_298.mp4,2469,Jojo,100.0
Transcodes/IMG_298.mp4,2469,Millie,100.0
Transcodes/IMG_298.mp4,2469,Jojo,100.0
Transcodes/IMG_298.mp4,2469,Tom,100.0
Transcodes/IMG_298.mp4,2469,Kari,100.0
Transcodes/IMG_298.mp4,2969,Millie,100.0
Transcodes/IMG_298.mp4,2969,Jojo,100.0
Transcodes/IMG_298.mp4,2969,Jojo,100.0
Transcodes/IMG_298.mp4,2969,Millie,100.0
Transcodes/IMG_298.mp4,2969,Tom,100.0
Transcodes/IMG_298.mp4,2969,Kari,100.0
Transcodes/IMG_298.mp4,3470,Millie,100.0
Transcodes/IMG_298.mp4,3470,Jojo,100.0
Transcodes/IMG_298.mp4,3470,Jojo,100.0
Transcodes/IMG_298.mp4,3470,Millie,100.0
Transcodes/IMG_298.mp4,3470,Tom,100.0
Transcodes/IMG_298.mp4,3470,Kari,100.0
Transcodes/IMG_298.mp4,3970,Millie,100.0
Transcodes/IMG_298.mp4,3970,Jojo,100.0
Transcodes/IMG_298.mp4,3970,Jojo,100.0
Transcodes/IMG_298.mp4,3970,Millie,100.0
Transcodes/IMG_298.mp4,3970,Tom,100.0
Transcodes/IMG_298.mp4,3970,Kari,100.0
Transcodes/IMG_298.mp4,4471,Jojo,100.0
Transcodes/IMG_298.mp4,4471,Millie,100.0
Transcodes/IMG_298.mp4,4471,Millie,100.0
Transcodes/IMG_298.mp4,4471,Jojo,100.0
Transcodes/IMG_298.mp4,4471,Tom,100.0
Transcodes/IMG_298.mp4,4471,Kari,100.0
Transcodes/IMG_298.mp4,4971,Jojo,100.0
Transcodes/IMG_298.mp4,4971,Millie,100.0
Transcodes/IMG_298.mp4,4971,Millie,100.0
Transcodes/IMG_298.mp4,4971,Tom,100.0
Transcodes/IMG_298.mp4,4971,Kari,100.0
Transcodes/IMG_298.mp4,5472,Jojo,100.0
Transcodes/IMG_298.mp4,5472,Millie,100.0
Transcodes/IMG_298.mp4,5472,Millie,100.0
Transcodes/IMG_298.mp4,5472,Jojo,100.0
Transcodes/IMG_298.mp4,5472,Tom,100.0
Transcodes/IMG_298.mp4,5472,Kari,100.0
Transcodes/IMG_298.mp4,5972,Jojo,100.0
Transcodes/IMG_298.mp4,5972,Millie,100.0
Transcodes/IMG_298.mp4,5972,Millie,100.0
Transcodes/IMG_298.mp4,5972,Jojo,100.0
Transcodes/IMG_298.mp4,5972,Tom,100.0
Transcodes/IMG_298.mp4,5972,Kari,100.0
Transcodes/IMG_298.mp4,6473,Jojo,100.0
Transcodes/IMG_298.mp4,6473,Millie,100.0
Transcodes/IMG_298.mp4,6473,Millie,100.0
Transcodes/IMG_298.mp4,6473,Jojo,100.0
Transcodes/IMG_298.mp4,6473,Tom,100.0
Transcodes/IMG_298.mp4,6473,Kari,100.0
Transcodes/IMG_298.mp4,6973,Millie,100.0
Transcodes/IMG_298.mp4,6973,Jojo,100.0
Transcodes/IMG_298.mp4,6973,Millie,100.0
Transcodes/IMG_298.mp4,6973,Tom,100.0
Transcodes/IMG_298.mp4,6973,Kari,100.0
Transcodes/IMG_298.mp4,7474,Jojo,100.0
Transcodes/IMG_298.mp4,7474,Millie,100.0
Transcodes/IMG_298.mp4,7474,Jojo,100.0
Transcodes/IMG_298.mp4,7474,Millie,100.0
Transcodes/IMG_298.mp4,7474,Tom,100.0
Transcodes/IMG_298.mp4,7474,Kari,100.0
Transcodes/IMG_298.mp4,7974,Millie,100.0
Transcodes/IMG_298.mp4,7974,Jojo,100.0
Transcodes/IMG_298.mp4,7974,Tom,100.0
Transcodes/IMG_298.mp4,7974,Kari,100.0
Transcodes/IMG_298.mp4,8475,Jojo,100.0
Transcodes/IMG_298.mp4,8475,Millie,100.0
Transcodes/IMG_298.mp4,8475,Tom,100.0
Transcodes/IMG_298.mp4,8475,Kari,100.0
Transcodes/IMG_298.mp4,8975,Jojo,100.0
Transcodes/IMG_298.mp4,8975,Millie,100.0
Transcodes/IMG_298.mp4,8975,Tom,100.0
Transcodes/IMG_298.mp4,8975,Kari,100.0
Transcodes/IMG_298.mp4,9476,Jojo,100.0
Transcodes/IMG_298.mp4,9476,Millie,100.0
Transcodes/IMG_298.mp4,9476,Tom,100.0
Transcodes/IMG_298.mp4,9476,Kari,100.0
Transcodes/IMG_298.mp4,9976,Jojo,100.0
Transcodes/IMG_298.mp4,9976,Millie,100.0
Transcodes/IMG_298.mp4,9976,Tom,100.0
Transcodes/IMG_298.mp4,9976,Kari,100.0
Transcodes/IMG_298.mp4,10477,Jojo,100.0
Transcodes/IMG_298.mp4,10477,Millie,100.0
Transcodes/IMG_298.mp4,10477,Tom,100.0
Transcodes/IMG_298.mp4,10477,Kari,100.0
Transcodes/IMG_298.mp4,10977,Jojo,100.0
Transcodes/IMG_298.mp4,10977,Millie,100.0
Transcodes/IMG_298.mp4,10977,Kari,100.0
Transcodes/IMG_298.mp4,11478,Jojo,100.0
Transcodes/IMG_298.mp4,11478,Millie,100.0
Transcodes/IMG_298.mp4,11478,Kari,100.0
Transcodes/IMG_298.mp4,11978,Jojo,100.0
Transcodes/IMG_298.mp4,11978,Millie,100.0
Transcodes/IMG_298.mp4,11978,Tom,100.0
Transcodes/IMG_298.mp4,11978,Kari,100.0
Transcodes/IMG_298.mp4,12479,Jojo,100.0
Transcodes/IMG_298.mp4,12479,Millie,100.0
Transcodes/IMG_298.mp4,12479,Kari,100.0
Transcodes/IMG_298.mp4,12979,Jojo,100.0
Transcodes/IMG_298.mp4,12979,Millie,100.0
Transcodes/IMG_298.mp4,12979,Kari,100.0
Transcodes/IMG_298.mp4,13480,Millie,100.0
